t,f(t)
1328,1.8663330676604741271676799144462069021642092770296E-12
1332,1.9333664415808377520631201586893956555643117477266E-12
1336,2.0023843343602132923074854549215850104623699894988E-12
1340,2.0734318306645872454530963796218993265101855378677E-12
1344,2.1465546784992931920401677966116667216860597378993E-12
1348,2.2217992915873125772922451321875101853274281866230E-12
1352,2.2992127516407153411985959759115680766425258971418E-12
1356,2.3788428105247663459713828333931745750142863972298E-12
1360,2.4607378923142670245767660783121482632552087301466E-12
1364,2.5449470952417447990831024397839589733974594244346E-12
1368,2.6315201935371455723945382492330454968069861937539E-12
1372,2.7205076391587269617856485094277236742221242909250E-12
1376,2.8119605634148918985507325369590287160504004618497E-12
1380,2.9059307784767437468395457191831007712866004544884E-12
1384,3.0024707787811851789537042779148134031784356351477E-12
1388,3.1016337423244236673759516599023483286315445354479E-12
1392,3.2034735318457865997083183369748512974524327914083E-12
1396,3.3080446959017886763660459943632520963706523957733E-12
1400,3.4154024698304333979147960003592460550587779265919E-12
1404,3.5256027766057690756841632823889478263373386415591E-12
1408,3.6387022275827578927982120671404594979325115988811E-12
1412,3.7547581231325540908029323912882225423777180841437E-12
1416,3.8738284531683243481116943855016450332225557740615E-12
1420,3.9959718975617798396935812371256228081191790734948E-12
1424,4.1212478264506253126352398999173265298201586748634E-12
1428,4.2497163004371657699209028578627828759178881190174E-12
1432,4.3814380706783460161587801833804210132876130575325E-12
1436,4.5164745788675323758391000979975461964088859535270E-12
1440,4.6548879571083793394739439285049287691500344183023E-12
1444,4.7967410276811567186935174690123409880634191185846E-12
1448,4.9420973027019450917142033176570733497665642533752E-12
1452,5.0910209836751388897989655367808323618097979121434E-12
1456,5.2435769609397274082273570415871309607285831706473E-12
1460,5.3998308130098543172728102717560665499304625151644E-12
1464,5.5598488058101858956934131399692336246464277276679E-12
1468,5.7236978918066472077619666260663604091512708371990E-12
1472,5.8914457090331137918999588313092639891798155395982E-12
1476,6.0631605800146741220580471949783751619610802880206E-12
1480,6.2389115105881051401207899122167774650726631789256E-12
1484,6.4187681886202295373084782660909987321229337922898E-12
1488,6.6028009826248491837779668989419270597126119569252E-12
1492,6.7910809402789741678190952336125188517339545478663E-12
1496,6.9836797868390913090796809860769430181218034663181E-12
1500,7.1806699234582397544371488628658830779661249640660E-12
1504,7.3821244254046843511933058189357423284336375394530E-12
1508,7.5881170401829999213297166303600857489894103107648E-12
1512,7.7987221855584013341450337242317314889088523581490E-12
1516,8.0140149474851753946012748607673178223226967273781E-12
1520,8.2340710779400910333976158977269468167584650834655E-12
